timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673242073903,2842,gift-finder-browse-0,301,Moved Permanently,rokomari 1-233,text,true,,1081,162,290,290,https://rokomari.com/giftfinderbrowse/2144?categories=2144&whoms=2141,2842,0,2096
1673242076745,52280,gift-finder-browse-1,200,OK,rokomari 1-233,text,true,,114304,166,290,290,https://www.rokomari.com/giftfinderbrowse/2144?categories=2144&whoms=2141,3335,0,1106
1673242040031,89292,kids-toys,200,OK,rokomari 1-295,text,true,,260617,310,290,290,https://www.rokomari.com/product/category/2864/kids-toys-&-games,1020,0,0
1673242040031,1020,kids-toys-0,301,Moved Permanently,rokomari 1-295,text,true,,1072,153,290,290,https://rokomari.com/product/category/2864/kids-toys-&-games,1020,0,0
1673242041051,88272,kids-toys-1,200,OK,rokomari 1-295,text,true,,259545,157,290,290,https://www.rokomari.com/product/category/2864/kids-toys-&-games,9231,0,0
1673242091551,37834,kids-toys,200,OK,rokomari 1-47,text,true,,260622,310,290,290,https://www.rokomari.com/product/category/2864/kids-toys-&-games,2696,0,2083
1673242091551,2698,kids-toys-0,301,Moved Permanently,rokomari 1-47,text,true,,1074,153,290,290,https://rokomari.com/product/category/2864/kids-toys-&-games,2696,0,2083
1673242094249,35136,kids-toys-1,200,OK,rokomari 1-47,text,true,,259548,157,290,290,https://www.rokomari.com/product/category/2864/kids-toys-&-games,2062,0,1254
1673242111976,17775,search,200,OK,rokomari 1-257,text,true,,89770,292,290,290,https://www.rokomari.com/search?term=humayun+ahmed+book,1846,0,1113
1673242111976,1846,search-0,301,Moved Permanently,rokomari 1-257,text,true,,1069,144,290,290,https://rokomari.com/search?term=humayun+ahmed+book,1846,0,1113
1673242113822,15929,search-1,200,OK,rokomari 1-257,text,true,,88701,148,290,290,https://www.rokomari.com/search?term=humayun+ahmed+book,1821,0,1157
1673242098821,31218,cart,200,OK,rokomari 1-61,text,true,,143241,240,290,290,https://www.rokomari.com/cart,690,0,0
1673242098821,690,cart-0,301,Moved Permanently,rokomari 1-61,text,true,,1043,118,290,290,https://rokomari.com/cart,690,0,0
